status	family	pval	qval	tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	gene_status	level	gene_type	num_cells_expressed	use_for_ordering
OK	negbinomial	0.713471401715571	0.902801396721706	ENSMUSG00000000001.4	-	-	ENSMUSG00000000001.4	Gnai3	-	chr3:108107279-108146146	-	1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	44	FALSE
OK	negbinomial	0.0156034792860531	0.138605229535761	ENSMUSG00000000028.14	-	-	ENSMUSG00000000028.14	Cdc45	-	chr16:18780446-18835261	-	11,10,13,12,15,14,17,16,19,18,20,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	8	FALSE
OK	negbinomial	0.752157425647887	0.917729507709292	ENSMUSG00000000049.11	-	-	ENSMUSG00000000049.11	Apoh	-	chr11:107933386-108414396	-	1,3,2,5,4,7,6,8	protein_coding	KNOWN	9	FALSE
OK	negbinomial	0.767742613966424	0.923373458343343	ENSMUSG00000000056.7	-	-	ENSMUSG00000000056.7	Narf	-	chr11:121237252-121255856	-	11,10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	36	FALSE
OK	negbinomial	0.534846596489033	0.81889578998795	ENSMUSG00000000058.6	-	-	ENSMUSG00000000058.6	Cav2	-	chr6:17197750-17385604	-	1,3,2	protein_coding	KNOWN	25	FALSE
OK	negbinomial	0.0358675731611676	0.229295466135911	ENSMUSG00000000078.6	-	-	ENSMUSG00000000078.6	Klf6	-	chr13:5861488-5870393	-	1,3,2,4	protein_coding	KNOWN	14	FALSE
OK	negbinomial	0.224612803259606	0.567023286660078	ENSMUSG00000000085.16	-	-	ENSMUSG00000000085.16	Scmh1	-	chr4:120405280-120530186	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding	KNOWN	52	TRUE
OK	negbinomial	0.015462746449097	0.137957538713829	ENSMUSG00000000088.6	-	-	ENSMUSG00000000088.6	Cox5a	-	chr9:57521231-57543187	-	1,3,2,5,4	protein_coding	KNOWN	137	FALSE
OK	negbinomial	0.0809449558329454	0.354273631562841	ENSMUSG00000000120.6	-	-	ENSMUSG00000000120.6	Ngfr	-	chr11:95568817-95587735	-	1,3,2,5,4,6	protein_coding	KNOWN	5	FALSE
OK	negbinomial	0.280443486668707	0.6253871306528	ENSMUSG00000000127.14	-	-	ENSMUSG00000000127.14	Fer	-	chr17:63896017-64139494	-	11,10,13,12,15,14,17,16,18,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	13	FALSE
OK	negbinomial	0.122274504992015	0.433631098421823	ENSMUSG00000000131.15	-	-	ENSMUSG00000000131.15	Xpo6	-	chr7:126101714-126200501	-	24,20,21,22,23,1,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18	retained_intron,protein_coding,processed_transcript	KNOWN	33	FALSE
OK	negbinomial	0.0713481383184929	0.33288161231073	ENSMUSG00000000134.17	-	-	ENSMUSG00000000134.17	Tfe3	-	chrX:7762559-7775202	-	10,1,3,2,5,4,7,6,9,8	processed_transcript,retained_intron,protein_coding	KNOWN	37	FALSE
OK	negbinomial	0.78625864279937	0.929186592978983	ENSMUSG00000000148.17	-	-	ENSMUSG00000000148.17	Brat1	-	chr5:140705010-140719379	-	11,10,13,12,14,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	17	FALSE
OK	negbinomial	0.0560732165595125	0.293828276984442	ENSMUSG00000000149.10	-	-	ENSMUSG00000000149.10	Gna12	-	chr5:140758407-140830431	-	1,3,2,4	protein_coding	KNOWN	5	FALSE
OK	negbinomial	0.639088119597526	0.873795572580514	ENSMUSG00000000154.15	-	-	ENSMUSG00000000154.15	Slc22a18	-	chr7:143473720-143499334	-	11,10,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding	KNOWN	5	FALSE
OK	negbinomial	0.504188301099984	0.797403080467725	ENSMUSG00000000167.14	-	-	ENSMUSG00000000167.14	Pih1d2	-	chr9:50603900-50624997	-	1,3,2,5,4,6	retained_intron,protein_coding	KNOWN	11	FALSE
OK	negbinomial	0.702089766921351	0.897939471009754	ENSMUSG00000000168.9	-	-	ENSMUSG00000000168.9	Dlat	-	chr9:50634632-50659780	-	11,10,13,12,14,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	108	FALSE
OK	negbinomial	0.239341249604586	0.585600156297389	ENSMUSG00000000171.4	-	-	ENSMUSG00000000171.4	Sdhd	-	chr9:50596337-50603849	-	1,3,2,4	protein_coding	KNOWN	122	FALSE
OK	negbinomial	0.320327952408451	0.664502468681695	ENSMUSG00000000184.12	-	-	ENSMUSG00000000184.12	Ccnd2	-	chr6:127122965-127212411	-	1,3,2,5,4	processed_transcript,protein_coding,retained_intron	KNOWN	10	TRUE
OK	negbinomial	0.540819827431059	0.821364560967792	ENSMUSG00000000194.13	-	-	ENSMUSG00000000194.13	Gpr107	-	chr2:31152315-31218775	-	11,10,13,12,15,14,17,16,18,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	41	FALSE
OK	negbinomial	0.302404356884729	0.645906520986576	ENSMUSG00000000197.7	-	-	ENSMUSG00000000197.7	Nalcn	-	chr14:123276640-123627144	-	42,43,24,25,26,27,20,21,22,23,44,28,29,40,41,1,3,2,5,4,7,6,9,8,39,38,11,10,13,12,15,14,17,16,19,18,31,30,37,36,35,34,33,32	protein_coding	KNOWN	10	FALSE
OK	negbinomial	0.186662208013469	0.519897156651364	ENSMUSG00000000202.9	-	-	ENSMUSG00000000202.9	Btbd17	-	chr11:114791216-114795945	-	1,3,2	processed_transcript,protein_coding	KNOWN	6	TRUE
OK	negbinomial	2.31241452676676e-06	0.000186663239299561	ENSMUSG00000000214.10	-	-	ENSMUSG00000000214.10	Th	-	chr7:142892751-142931128	-	11,10,13,12,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	101	TRUE
